COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Eastern Yellow-bellied Racer,NA,Threatened,2015-11-26,Coluber constrictor flaviventris,Eastern Yellow-bellied Racer,NA,Threatened,2006-08-15,Schedule 1,2006-08-15,"Alberta, Saskatchewan",Reptiles,NA,Added to list,2025-11-26,Terrestrial,Coluber constrictor flaviventris - Eastern Yellow-bellied Racer,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blue Racer,NA,Endangered,2012-05-04,Coluber constrictor foxii,Blue Racer,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,Ontario,Reptiles,NA,Added to list,2022-05-04,Terrestrial,Coluber constrictor foxii - Blue Racer,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Yellow-bellied Racer,NA,Threatened,2015-11-26,Coluber constrictor mormon,Western Yellow-bellied Racer,NA,Threatened,2023-02-03,Schedule 1,2006-08-15,British Columbia,Reptiles,NA,Uplisted: Special Concern to threatened,2025-11-26,Terrestrial,Coluber constrictor mormon - Western Yellow-bellied Racer,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sharp-tailed Snake,NA,Non-active,2021-12-01,Contia tenuis,Sharp-tailed Snake,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Reptiles,NA,Added to list,2031-12-01,Terrestrial,Contia tenuis - Sharp-tailed Snake,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sharp-tailed Snake,Coast Mountains population,Endangered,2021-12-01,Contia tenuis,Sharp-tailed Snake,Coast Mountains population,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Reptiles,Addition,Pending,2031-12-01,Terrestrial,Contia tenuis - Sharp-tailed Snake (Coast Mountains population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sharp-tailed Snake,Pacific Coast population,Threatened,2021-12-01,Contia tenuis,Sharp-tailed Snake,Pacific Coast population,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Reptiles,Addition,Pending,2031-12-01,Terrestrial,Contia tenuis - Sharp-tailed Snake (Pacific Coast population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Olive-sided Flycatcher,NA,Special Concern,2018-04-27,Contopus cooperi,Olive-sided Flycatcher,NA,Special Concern,2023-02-03,Schedule 1,2010-02-23,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,NA,Downlisted: Threatened to special concern,2028-04-27,Terrestrial,Contopus cooperi - Olive-sided Flycatcher,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Wood-pewee,NA,Special Concern,2012-11-25,Contopus virens,Eastern Wood-pewee,NA,Special Concern,2017-11-02,Schedule 1,2017-11-02,"Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,NA,Added to list,2022-11-25,Terrestrial,Contopus virens - Eastern Wood-pewee,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Columbia Dune Moth,NA,Data Deficient,2017-04-28,Copablepharon absidum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Arthropods,NA,NA,2027-04-28,Terrestrial,Copablepharon absidum - Columbia Dune Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sand-verbena Moth,NA,Endangered,2013-11-01,Copablepharon fuscum,Sand-verbena Moth,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Arthropods,NA,Added to list,2023-11-01,Terrestrial,Copablepharon fuscum - Sand-verbena Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pale Yellow Dune Moth,NA,Special Concern,2018-11-01,Copablepharon grandis,Pale Yellow Dune Moth,NA,Special Concern,2010-02-23,Schedule 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Arthropods,NA,Added to list,2028-11-01,Terrestrial,Copablepharon grandis - Pale Yellow Dune Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dusky Dune Moth,NA,Threatened,2022-05-11,Copablepharon longipenne,Dusky Dune Moth,NA,Endangered,9999-01-01,Schedule 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Arthropods,Status change,Pending,2032-05-11,Terrestrial,Copablepharon longipenne - Dusky Dune Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Longjaw Cisco,NA,Non-active,2002-05-01,Coregonus alpenae,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2012-05-01,Aquatic,Coregonus alpenae - Longjaw Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Como Lake large-bodied population,Extinct,2018-04-27,Coregonus clupeaformis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2028-04-27,Aquatic,Coregonus clupeaformis - Lake Whitefish (Como Lake large-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Como Lake small-bodied population,Extinct,2018-04-27,Coregonus clupeaformis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2028-04-27,Aquatic,Coregonus clupeaformis - Lake Whitefish (Como Lake small-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Lake Simcoe population,Data Deficient,2005-05-05,Coregonus clupeaformis,Lake Whitefish,Lake Simcoe population,NA,9999-01-01,NA,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2015-05-05,Aquatic,Coregonus clupeaformis - Lake Whitefish (Lake Simcoe population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Little Teslin Lake large-bodied population,Threatened,2018-04-27,Coregonus clupeaformis,Lake Whitefish,Little Teslin Lake large-bodied population,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus clupeaformis - Lake Whitefish (Little Teslin Lake large-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Mira River population,Data Deficient,2000-11-01,Coregonus clupeaformis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Nova Scotia,Fishes (freshwater),NA,NA,2010-11-01,Aquatic,Coregonus clupeaformis - Lake Whitefish (Mira River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Opeongo Lake large-bodied population,Threatened,2018-04-27,Coregonus clupeaformis,Lake Whitefish,Opeongo Lake large-bodied population,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus clupeaformis - Lake Whitefish (Opeongo Lake large-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Opeongo Lake small-bodied population,Threatened,2018-04-27,Coregonus clupeaformis,Lake Whitefish,Opeongo Lake small-bodied population,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus clupeaformis - Lake Whitefish (Opeongo Lake small-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Whitefish,Squanga Lake large-bodied population,Threatened,2018-04-27,Coregonus clupeaformis,Lake Whitefish,Squanga Lake large-bodied population,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus clupeaformis - Lake Whitefish (Squanga Lake large-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bloater,NA,Not at Risk,1988-04-01,Coregonus hoyi,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,1998-04-01,Aquatic,Coregonus hoyi - Bloater,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic Whitefish,NA,Endangered,2022-12-03,Coregonus huntsmani,Atlantic Whitefish,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Fishes (freshwater),NA,Added to list,2032-12-03,Aquatic,Coregonus huntsmani - Atlantic Whitefish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Deepwater Cisco,NA,Extinct,2000-05-01,Coregonus johannae,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2010-05-01,Aquatic,Coregonus johannae - Deepwater Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Kiyi,NA,Non-active,2005-05-05,Coregonus kiyi,Kiyi,NA,NA,9999-01-01,NA,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2015-05-05,Aquatic,Coregonus kiyi - Kiyi,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Upper Great Lakes Kiyi,NA,Special Concern,2005-05-05,Coregonus kiyi kiyi,Upper Great Lakes Kiyi,NA,Special Concern,2007-12-13,Schedule 1,2007-12-13,Ontario,Fishes (freshwater),NA,Added to list,2015-05-05,Aquatic,Coregonus kiyi kiyi - Upper Great Lakes Kiyi,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Ontario Kiyi,NA,Extinct,2005-05-05,Coregonus kiyi orientalis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2015-05-05,Aquatic,Coregonus kiyi orientalis - Lake Ontario Kiyi,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bering Cisco,NA,Special Concern,2017-11-01,Coregonus laurettae,Bering Cisco,NA,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2027-11-01,Aquatic,Coregonus laurettae - Bering Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
European Whitefish,Dezadeash Lake large-bodied population,Threatened,2018-04-27,Coregonus lavaretus,European Whitefish,Dezadeash Lake large-bodied population,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus lavaretus - European Whitefish (Dezadeash Lake large-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
European Whitefish,Dezadeash Lake small-bodied population,Threatened,2018-04-27,Coregonus lavaretus,European Whitefish,Dezadeash Lake small-bodied population,NA,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus lavaretus - European Whitefish (Dezadeash Lake small-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
European Whitefish,Little Teslin Lake small-bodied population,Threatened,2018-04-27,Coregonus lavaretus,European Whitefish,Little Teslin Lake small-bodied population,NA,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus lavaretus - European Whitefish (Little Teslin Lake small-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
European Whitefish,Squanga Lake small-bodied population,Threatened,2018-04-27,Coregonus lavaretus,European Whitefish,Squanga Lake small-bodied population,NA,9999-01-01,No schedule,9999-01-01,Yukon,Fishes (freshwater),Addition,Pending,2028-04-27,Aquatic,Coregonus lavaretus - European Whitefish (Squanga Lake small-bodied population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blackfin Cisco,NA,Data Deficient,2007-04-22,Coregonus nigripinnis,Blackfin Cisco,NA,NA,9999-01-01,NA,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2017-04-22,Aquatic,Coregonus nigripinnis - Blackfin Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Shortnose Cisco,NA,Endangered,2017-04-28,Coregonus reighardi,Shortnose Cisco,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,Ontario,Fishes (freshwater),NA,Added to list,2027-04-28,Aquatic,Coregonus reighardi - Shortnose Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spring Cisco,NA,Endangered,2009-04-26,Coregonus sp.,Spring Cisco,NA,Endangered,2013-03-08,Schedule 1,2013-03-08,Quebec,Fishes (freshwater),NA,Added to list,2019-04-26,Aquatic,Coregonus sp. - Spring Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Squanga Whitefish,NA,Non-active,2018-04-27,Coregonus sp.,Squanga Whitefish,NA,NA,9999-01-01,NA,9999-01-01,Yukon,Fishes (freshwater),NA,NA,2028-04-27,Aquatic,Coregonus sp. - Squanga Whitefish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Shortjaw Cisco,NA,Threatened,2003-05-01,Coregonus zenithicus,Shortjaw Cisco,NA,NA,2006-04-06,NA,9999-01-01,"Alberta, Manitoba, Northwest Territories, Ontario, Saskatchewan",Fishes (freshwater),NA,Refer back,2013-05-01,Aquatic,Coregonus zenithicus - Shortjaw Cisco,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pink Coreopsis,NA,Endangered,2012-11-25,Coreopsis rosea,Pink Coreopsis,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,NA,Added to list,2022-11-25,Terrestrial,Coreopsis rosea - Pink Coreopsis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Flowering Dogwood,NA,Endangered,2007-04-22,Cornus florida,Eastern Flowering Dogwood,NA,Endangered,2009-03-05,Schedule 1,2009-03-05,Ontario,Vascular Plants,NA,Added to list,2017-04-22,Terrestrial,Cornus florida - Eastern Flowering Dogwood,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Scouler's Corydalis,NA,Not at Risk,2006-11-24,Corydalis scouleri,Scouler's Corydalis,NA,No Status,2009-03-05,No schedule,2003-06-05,British Columbia,Vascular Plants,NA,Delisted: Threatened to not at risk,2016-11-24,Terrestrial,Corydalis scouleri - Scouler's Corydalis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Roundnose Grenadier,NA,Endangered,2008-11-28,Coryphaenoides rupestris,Roundnose Grenadier,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean",Fishes (marine),Addition,Pending,2018-11-28,Aquatic,Coryphaenoides rupestris - Roundnose Grenadier,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coastrange Sculpin,Cultus Lake population,Endangered,2019-11-29,Cottus aleuticus,Coastrange Sculpin,Cultus population,Threatened,9999-01-01,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),Status change,Pending,2029-11-29,Aquatic,Cottus aleuticus - Coastrange Sculpin (Cultus Lake population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Shorthead Sculpin,NA,Special Concern,2010-11-26,Cottus confusus,Shorthead Sculpin,NA,Special Concern,2013-03-08,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),NA,Downlisted: Threatened to special concern,2020-11-26,Aquatic,Cottus confusus - Shorthead Sculpin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Columbia Sculpin,NA,Special Concern,2019-11-29,Cottus hubbsi,Columbia Sculpin,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),NA,Added to list,2029-11-29,Aquatic,Cottus hubbsi - Columbia Sculpin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spoonhead Sculpin,NA,Not at Risk,1989-04-01,Cottus ricei,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",Fishes (freshwater),NA,NA,1999-04-01,Aquatic,Cottus ricei - Spoonhead Sculpin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rocky Mountain Sculpin,Eastslope population,Non-active,2019-11-29,Cottus sp.,Rocky Mountain Sculpin,Eastslope population,Threatened,2006-08-15,Schedule 1,2006-08-15,Alberta,Fishes (freshwater),NA,Added to list,2029-11-29,Aquatic,Cottus sp. - Rocky Mountain Sculpin (Eastslope population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rocky Mountain Sculpin,Missouri River population,Threatened,2019-11-29,Cottus sp.,Rocky Mountain Sculpin,Missouri River population,No Status,9999-01-01,No schedule,9999-01-01,Alberta,Fishes (freshwater),Addition,Pending,2029-11-29,Aquatic,Cottus sp. - Rocky Mountain Sculpin (Missouri River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rocky Mountain Sculpin,Pacific population,Special Concern,2019-11-29,Cottus sp.,Rocky Mountain Sculpin,Westslope population,Special Concern,2017-04-13,Schedule 1,2017-04-13,British Columbia,Fishes (freshwater),NA,Added to list,2029-11-29,Aquatic,Cottus sp. - Rocky Mountain Sculpin (Pacific population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rocky Mountain Sculpin,Saskatchewan - Nelson River population,Threatened,2019-11-29,Cottus sp.,Rocky Mountain Sculpin,Saskatchewan - Nelson River population,No Status,9999-01-01,No schedule,9999-01-01,Alberta,Fishes (freshwater),Addition,Pending,2029-11-29,Aquatic,Cottus sp. - Rocky Mountain Sculpin (Saskatchewan - Nelson River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yellow Rail,NA,Special Concern,2023-12-01,Coturnicops noveboracensis,Yellow Rail,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Ontario, Quebec, Saskatchewan",Birds,NA,Added to list,2033-12-01,Terrestrial,Coturnicops noveboracensis - Yellow Rail,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Chub,Atlin Warm Springs population,Threatened,2018-11-01,Couesius plumbeus,Lake Chub,Atlin Warm Springs population,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),Addition,Pending,2028-11-01,Aquatic,Couesius plumbeus - Lake Chub (Atlin Warm Springs population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Chub,Liard Hot Springs population,Threatened,2018-11-01,Couesius plumbeus,Lake Chub,Liard Hot Springs population,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),Addition,Pending,2028-11-01,Aquatic,Couesius plumbeus - Lake Chub (Liard Hot Springs population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Chub,Northern British Columbia Hotsprings population,Non-active,2018-11-01,Couesius plumbeus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2028-11-01,Aquatic,Couesius plumbeus - Lake Chub (Northern British Columbia Hotsprings population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tiny Tassel,NA,Special Concern,2014-11-28,Crossidium seriatum,Tiny Tassel,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Mosses,NA,Added to list,2024-11-28,Terrestrial,Crossidium seriatum - Tiny Tassel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Timber Rattlesnake,NA,Extirpated,2023-05-05,Crotalus horridus,Timber Rattlesnake,NA,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Reptiles,NA,Added to list,2033-05-05,Terrestrial,Crotalus horridus - Timber Rattlesnake,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Rattlesnake,NA,Threatened,2015-05-01,Crotalus oreganus,Western Rattlesnake,NA,Threatened,2005-07-14,Schedule 1,2005-07-14,British Columbia,Reptiles,NA,Added to list,2025-05-01,Terrestrial,Crotalus oreganus - Western Rattlesnake,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Prairie Rattlesnake,NA,Special Concern,2015-05-01,Crotalus viridis,Prairie Rattlesnake,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,"Alberta, Saskatchewan",Reptiles,NA,Added to list,2025-05-01,Terrestrial,Crotalus viridis - Prairie Rattlesnake,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Slender Mouse-ear-cress,NA,Threatened,2022-12-03,Crucihimalaya virgata,Slender Mouse-ear-cress,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,NA,Added to list,2032-12-03,Terrestrial,Crucihimalaya virgata - Slender Mouse-ear-cress,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tiny Cryptantha,NA,Threatened,2012-05-04,Cryptantha minima,Tiny Cryptantha,NA,Threatened,2017-02-03,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,NA,Downlisted: Endangered to threatened,2022-05-04,Terrestrial,Cryptantha minima - Tiny Cryptantha,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Puget Oregonian,NA,Extirpated,2013-05-03,Cryptomastix devia,Puget Oregonian,NA,Extirpated,2005-01-12,Schedule 1,2005-01-12,British Columbia,Molluscs,NA,Added to list,2023-05-03,Terrestrial,Cryptomastix devia - Puget Oregonian,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Purple Wartyback,NA,Threatened,2021-05-05,Cyclonaias tuberculata,Purple Wartyback,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Molluscs,Addition,Pending,2031-05-05,Terrestrial,Cyclonaias tuberculata - Purple Wartyback,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lumpfish,NA,Threatened,2017-11-01,Cyclopterus lumpus,Lumpfish,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending,2027-11-01,Aquatic,Cyclopterus lumpus - Lumpfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Trumpeter Swan,NA,Not at Risk,1996-04-01,Cygnus buccinator,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Northwest Territories, Ontario, Saskatchewan, Yukon",Birds,NA,NA,2006-04-01,Terrestrial,Cygnus buccinator - Trumpeter Swan,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Black-tailed Prairie Dog,NA,Threatened,2024-11-28,Cynomys ludovicianus,Black-tailed Prairie Dog,NA,Threatened,2018-02-02,Schedule 1,2003-06-05,Saskatchewan,Mammals (terrestrial),NA,Uplisted: Special Concern to threatened,2034-11-28,Terrestrial,Cynomys ludovicianus - Black-tailed Prairie Dog,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Small White Lady's-slipper,NA,Threatened,2014-11-28,Cypripedium candidum,Small White Lady's-slipper,NA,Threatened,2019-02-25,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,NA,Downlisted: Endangered to threatened,2024-11-28,Terrestrial,Cypripedium candidum - Small White Lady's-slipper,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Black Swift,NA,Endangered,2015-05-01,Cypseloides niger,Black Swift,NA,Endangered,2019-05-22,Schedule 1,2019-05-22,"Alberta, British Columbia",Birds,NA,Added to list,2025-05-01,Terrestrial,Cypseloides niger - Black Swift,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Hooded Seal,NA,Not at Risk,1986-04-01,Cystophora cristata,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean",Mammals (marine),NA,NA,1996-04-01,Aquatic,Cystophora cristata - Hooded Seal,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Hairy Prairie-clover,NA,Special Concern,2011-11-25,Dalea villosa,Hairy Prairie-clover,NA,Special Concern,2017-02-03,Schedule 1,2003-06-05,"Manitoba, Saskatchewan",Vascular Plants,NA,Downlisted: Threatened to special concern,2021-11-25,Terrestrial,Dalea villosa - Hairy Prairie-clover,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dalton’s Moss,NA,Endangered,2019-05-03,Daltonia splachnoides,Dalton’s Moss,NA,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Mosses,NA,Added to list,2029-05-03,Terrestrial,Daltonia splachnoides - Dalton’s Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Monarch,NA,Endangered,2016-11-27,Danaus plexippus,Monarch,NA,Endangered,2023-12-08,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Arthropods,NA,Uplisted: Special Concern to endangered,2026-11-27,Terrestrial,Danaus plexippus - Monarch,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blue Felt Lichen,NA,Special Concern,2010-11-26,Degelia plumbea,Blue Felt Lichen,NA,Special Concern,2017-06-02,Schedule 1,2017-06-02,"New Brunswick, Newfoundland and Labrador, Nova Scotia",Lichens,NA,Added to list,2020-11-26,Terrestrial,Degelia plumbea - Blue Felt Lichen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,Cumberland Sound population,Endangered,2020-11-04,Delphinapterus leucas,Beluga Whale,Cumberland Sound population,Threatened,9999-01-01,Schedule 1,2017-04-13,"Arctic Ocean, Nunavut",Mammals (marine),Status change,Pending,2030-11-04,Aquatic,Delphinapterus leucas - Beluga Whale (Cumberland Sound population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,Eastern Beaufort Sea population,Not at Risk,2004-05-01,Delphinapterus leucas,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Northwest Territories",Mammals (marine),NA,NA,2014-05-01,Aquatic,Delphinapterus leucas - Beluga Whale (Eastern Beaufort Sea population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,Eastern High Arctic - Baffin Bay population,Special Concern,2020-11-04,Delphinapterus leucas,Beluga Whale,Eastern High Arctic - Baffin Bay population,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Nunavut",Mammals (marine),Addition,Pending,2030-11-04,Aquatic,Delphinapterus leucas - Beluga Whale (Eastern High Arctic - Baffin Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,Eastern Hudson Bay population,Threatened,2020-11-04,Delphinapterus leucas,Beluga Whale,Eastern Hudson Bay population,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Newfoundland and Labrador, Nunavut, Quebec",Mammals (marine),Addition,Pending,2030-11-04,Aquatic,Delphinapterus leucas - Beluga Whale (Eastern Hudson Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,James Bay population,Not at Risk,2020-11-04,Delphinapterus leucas,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Nunavut, Ontario, Quebec",Mammals (marine),NA,NA,2030-11-04,Aquatic,Delphinapterus leucas - Beluga Whale (James Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,Southeast Baffin Island-Cumberland Sound population,Non-active,2004-05-01,Delphinapterus leucas,Beluga Whale,Southeast Baffin Island-Cumberland Sound population,NA,9999-01-01,NA,9999-01-01,"Arctic Ocean, Nunavut",Mammals (marine),NA,NA,2014-05-01,Aquatic,Delphinapterus leucas - Beluga Whale (Southeast Baffin Island-Cumberland Sound population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,St. Lawrence Estuary population,Endangered,2014-11-28,Delphinapterus leucas,Beluga Whale,St. Lawrence Estuary population,Endangered,2017-04-13,Schedule 1,2005-07-14,"Atlantic Ocean, Quebec",Mammals (marine),NA,Uplisted: Threatened to endangered,2024-11-28,Aquatic,Delphinapterus leucas - Beluga Whale (St. Lawrence Estuary population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
