COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Lake Sturgeon,Southern Hudson Bay - James Bay population,Special Concern,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Southern Hudson Bay - James Bay population,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Manitoba, Ontario, Quebec",Fishes (freshwater),NA,Added to list,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Southern Hudson Bay - James Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Western Hudson Bay population,Endangered,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Western Hudson Bay population,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, Saskatchewan",Fishes (freshwater),Addition,Pending,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Western Hudson Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Western population,Non-active,2006-11-24,Acipenser fulvescens,Lake Sturgeon,Western population,NA,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Saskatchewan",Fishes (freshwater),NA,NA,2016-11-24,Aquatic,Acipenser fulvescens - Lake Sturgeon (Western population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Winnipeg River - English River population,Non-active,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Winnipeg River - English River population,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, Ontario",Fishes (freshwater),NA,NA,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Winnipeg River - English River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Green Sturgeon,NA,Special Concern,2013-11-01,Acipenser medirostris,Green Sturgeon,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Pacific Ocean",Fishes (freshwater),NA,Added to list,2023-11-01,Aquatic,Acipenser medirostris - Green Sturgeon,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic Sturgeon,Maritimes population,Threatened,2011-05-06,Acipenser oxyrinchus,Atlantic Sturgeon,Maritimes population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending,2021-05-06,Aquatic,Acipenser oxyrinchus - Atlantic Sturgeon (Maritimes population),Aquatic,Fishes (freshwater),Acipenser oxyrinchus,Atlantic Sturgeon ,Maritimes population,Threatened,9999-01-01,"Atlantic Ocean, CWS, DFO, NB, NS, Parks"
Atlantic Sturgeon,St. Lawrence population,Threatened,2011-05-06,Acipenser oxyrinchus,Atlantic Sturgeon,St. Lawrence population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Quebec",Fishes (freshwater),Addition,Pending,2021-05-06,Aquatic,Acipenser oxyrinchus - Atlantic Sturgeon (St. Lawrence population),Aquatic,Fishes (freshwater),Acipenser oxyrinchus,Atlantic Sturgeon ,St. Lawrence population,Threatened,9999-01-01,"Atlantic Ocean, CWS, DFO, NL, Parks, PE, QC, TJFB"
White Sturgeon,NA,none,9999-01-01,Acipenser transmontanus,White Sturgeon,Kootenay River population,No Status,2019-08-08,No schedule,2006-08-15,British Columbia,Fishes (freshwater),NA,Struck - WS reassignment,9999-01-01,Aquatic,Acipenser transmontanus -  <blank>  (Kootenay River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,NA,none,9999-01-01,Acipenser transmontanus,White Sturgeon,Lower Fraser River population,No Status,2006-08-15,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,Not to list,9999-01-01,Aquatic,Acipenser transmontanus -  <blank>  (Lower Fraser River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Sturgeon,NA,none,9999-01-01,Acipenser transmontanus,White Sturgeon,Middle Fraser River,No Status,2006-08-15,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,Not to list,9999-01-01,Aquatic,Acipenser transmontanus -  <blank>  (Middle Fraser River),NA,NA,NA,NA,NA,NA,9999-01-01,NA
