"unique_id","COSEWIC common name","COSEWIC population","COSEWIC status","COSEWIC last assessment date","Scientific name","Legal common name","Legal population","Schedule status","Last status change","SARA schedule","Date added","Range","Taxonomic group","Under consideration for","GIC decision","Domain","Estimated re-assessment"
"Raj_bin_gen","Big Skate","general","Not at Risk",2007-04-22,"Raja binoculata",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2017-04-22
"Cyp_nig_gen","Black Swift","general","Endangered",2015-05-01,"Cypseloides niger","Black Swift",NA,"Endangered",2019-05-22,"Schedule 1",2019-05-22,"Alberta, British Columbia","Birds",NA,"Added to list","Terrestrial",2025-05-01
"Chl_nig_gen","Black Tern","general","Not at Risk",1996-04-01,"Chlidonias niger",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Ontario, Quebec, Saskatchewan","Birds",NA,NA,"Terrestrial",2006-04-01
"Pho_nig_gen","Black-footed Albatross","general","Special Concern",2007-04-22,"Phoebastria nigripes","Black-footed Albatross",NA,"Special Concern",2009-03-05,"Schedule 1",2009-03-05,"Pacific Ocean","Birds",NA,"Added to list","Terrestrial",2017-04-22
"Pri_gla_Nor","Blue Shark","North Pacific population","Not at Risk",2016-11-27,"Prionace glauca",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2026-11-27
"Bal_mus_gen","Blue Whale","general","Non-active",2002-05-01,"Balaenoptera musculus","Blue Whale",NA,NA,NA,NA,NA,"Atlantic Ocean, Pacific Ocean","Mammals (marine)",NA,NA,"Aquatic",2012-05-01
"Bal_mus_Pac","Blue Whale","Pacific population","Endangered",2012-05-04,"Balaenoptera musculus","Blue Whale","Pacific population","Endangered",2005-01-12,"Schedule 1",2005-01-12,"Pacific Ocean","Mammals (marine)",NA,"Added to list","Aquatic",2022-05-04
"Pro_coe_gen","Blue-grey Taildropper","general","Threatened",2016-04-29,"Prophysaon coeruleum","Blue-grey Taildropper",NA,"Threatened",2019-02-25,"Schedule 1",2007-12-13,"British Columbia","Molluscs",NA,"Downlisted: Endangered to threatened","Terrestrial",2026-04-29
"Hex_gri_gen","Bluntnose Sixgill Shark","general","Special Concern",2007-04-22,"Hexanchus griseus","Bluntnose Sixgill Shark",NA,"Special Concern",2009-03-05,"Schedule 1",2009-03-05,"Pacific Ocean","Fishes (marine)",NA,"Added to list","Aquatic",2017-04-22
"Dol_ory_gen","Bobolink","general","Special Concern",2022-05-11,"Dolichonyx oryzivorus","Bobolink",NA,"Threatened",NA,"Schedule 1",2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan","Birds","Status change","Pending","Terrestrial",2032-05-11
"Seb_pau_gen","Bocaccio","general","Endangered",2013-11-01,"Sebastes paucispinis","Bocaccio",NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2023-11-01
"Lot_pin_gen","Bog Bird’s-foot Trefoil","general","Endangered",2004-05-01,"Lotus pinnatus","Bog Bird’s-foot Trefoil",NA,"Endangered",2005-07-14,"Schedule 1",2005-07-14,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2014-05-01
"Aeg_fun_gen","Boreal Owl","general","Not at Risk",1995-04-01,"Aegolius funereus",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",2005-04-01
"Pha_ram_gen","Branched Phacelia","general","Endangered",2005-05-05,"Phacelia ramosissima","Branched Phacelia",NA,"Endangered",2006-08-15,"Schedule 1",2006-08-15,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2015-05-05
"Hyb_han_Pac","Brassy Minnow","Pacific population","Special Concern",2022-05-11,"Hybognathus hankinsoni","Brassy Minnow","Pacific population","No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)","Addition","Pending","Aquatic",2032-05-11
"Hyb_han_Wes","Brassy Minnow","Western Arctic population","Special Concern",2022-05-11,"Hybognathus hankinsoni","Brassy Minnow","Western Arctic population","No Status",NA,"No schedule",NA,"Alberta, British Columbia","Fishes (freshwater)","Addition","Pending","Aquatic",2032-05-11
"Epi_tor_gen","Brook Spike-primrose","general","Endangered",2018-11-01,"Epilobium torreyi","Brook Spike-primrose",NA,"Endangered",2007-12-13,"Schedule 1",2007-12-13,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2028-11-01
"Apr_bru_gen","Brown Cat Shark","general","Data Deficient",2007-04-22,"Apristurus brunneus",NA,NA,"No Status",NA,"No schedule",NA,"Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2017-04-22
"Try_sub_gen","Buff-breasted Sandpiper","general","Special Concern",2012-05-04,"Tryngites subruficollis","Buff-breasted Sandpiper",NA,"Special Concern",2017-02-03,"Schedule 1",2017-02-03,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon","Birds",NA,"Added to list","Terrestrial",2022-05-04
