Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,Candidate list,Priority,Date nominated,Rationale
Oncorhynchus keta - Chum Salmon (Vancouver Island and Mainland Inlets),Aquatic,Fishes (marine),Oncorhynchus keta,Chum Salmon (Vancouver Island and Mainland Inlets),SSC,SSC - Group 2,9999,NA
Oncorhynchus kisutch - Coho Salmon (Central Coast population),Aquatic,Fishes (marine),Oncorhynchus kisutch,Coho Salmon (Central Coast population),SSC,SSC - Group 1,9999,NA
Oncorhynchus kisutch - Coho Salmon (Skeena River population),Aquatic,Fishes (marine),Oncorhynchus kisutch,Coho Salmon (Skeena River population),SSC,SSC - Group 2,9999,NA
Oncorhynchus nerka - Sockeye Salmon,Aquatic,Fishes (marine),Oncorhynchus nerka,Sockeye Salmon,COSEWIC,COSEWIC - Group 1,2022,"These DUs are in the Skeena and Nass River drainage areas. They are an anadromous species that migrate to sea and return to spawn in natal rivers. Nass-Skeena Sockeye are a high priority species because populations have been defined, and observed declines coupled with small population numbers indicate considerable extinction risk. They are also in the same geographic region as Skeena Chinook which are also subject to similar declines, data availability, and threats. Major threats may exist and vary according to the diversity of habitat used over the Sockeye salmon life cycle: (1) Estuary and (2) Coastal areas are subject to possible threats, for example, from pollution, fisheries, and pinniped predation. (3) High Seas area are subject to possible threats, for example, from competition with other salmon species and changes in ocean productivity. (4) Freshwater habitats are exposed to threats within watershed areas, for example, from habitat degradation, dams, and landslides."
Oncorhynchus nerka - Sockeye Salmon (Central Coast population),Aquatic,Fishes (marine),Oncorhynchus nerka,Sockeye Salmon (Central Coast population),SSC,SSC - Group 1,9999,NA
Oncorhynchus nerka - Sockeye Salmon (Vancouver Island and Mainland Inlets),Aquatic,Fishes (marine),Oncorhynchus nerka,Sockeye Salmon (Vancouver Island and Mainland Inlets),SSC,SSC - Group 2,9999,NA
Oncorhynchus tshawytscha - Chinook Salmon,Aquatic,Fishes (marine),Oncorhynchus tshawytscha,Chinook Salmon,COSEWIC,COSEWIC - Group 1,2022,"These DUs are in the Skeena and Nass River drainage areas. They are an anadromous species that migrate to sea and return to spawn in natal rivers. Preliminary Predictions based on current data are as follows: Four of the DUs with complete data are ENDANGERED and the fifth is THREATENED. DUs with incomplete data are all ENDANGERED. Two DUs are data deficient. Major threats may exist and vary according to the diversity of habitat used over the Chinook salmon life cycle: (1) Estuary and (2) Coastal areas are subject to possible threats, for example, from pollution, fisheries, and pinniped predation; (3) High Seas area are subject to possible threats, for example, from competition with other salmon species and changes in ocean productivity and (4) Freshwater habitats are exposed to threats within watershed areas, for example, from habitat degradation, dams, and landslides. Skeena Chinook are a high priority species because DUs has been defined, estimated declines are large, and data are readily available, though likely requires some review. It is also in the same geographic region as Skeena Sockeye which are also subject to similar declines, data availability, and threats."
Oncorhynchus tshawytscha - Chinook Salmon (Yukon River and transboundary population),Aquatic,Fishes (marine),Oncorhynchus tshawytscha,Chinook Salmon (Yukon River and transboundary population),SSC,SSC - Group 1,9999,NA
Oporornis agilis - Connecticut Warbler,Terrestrial,Birds,Oporornis agilis,Connecticut Warbler,SSC,SSC - Group 2,9999,NA
Papilio indra indra - Indra Swallowtail subspecies,Terrestrial,Arthropods,Papilio indra indra,Indra Swallowtail subspecies,SSC,SSC - Group 1,2022,"The Indra Swallowtail is a large, striking butterfly that is restricted in Canada to the Cascade Mountains of southern British Columbia; they are known at present from only three sites. The larvae feed on the foliage of biscuitroots and perhaps other members of the carrot family that grow on sunny, south facing subalpine slopes. The species' extremely small range makes it vulnerable to catastrophic events such as wildfires, which are predicted to increase in size and intensity with climate change. The warming climate may also cause some loss of open subalpine meadows through an increase in tree and shrub cover."
Paraphymatoceros pearsonii - (common name not available),Terrestrial,Mosses,Paraphymatoceros pearsonii,(common name not available),SSC,SSC - Group 1,9999,NA
Parmeliella parvula - Poor-man's Shingle Lichen,Terrestrial,Lichens,Parmeliella parvula,Poor-man's Shingle Lichen,SSC,SSC - Group 3,9999,NA
Peltula euploca - Powdery Rock-olive Lichen,Terrestrial,Lichens,Peltula euploca,Powdery Rock-olive Lichen,SSC,SSC - Group 3,9999,NA
Perognathus parvus - Columbia Plateau Pocket Mouse,Terrestrial,Mammals (terrestrial),Perognathus parvus,Columbia Plateau Pocket Mouse,SSC,SSC - Group 2,9999,NA
Phaeoceros oreganus - (common name not available),Terrestrial,Mosses,Phaeoceros oreganus,(common name not available),SSC,SSC - Group 1,9999,NA
Phymatoceros bulbiculosus - (common name not available),Terrestrial,Mosses,Phymatoceros bulbiculosus,(common name not available),SSC,SSC - Group 1,9999,NA
Physella columbiana - Rotund Physa,Aquatic,Molluscs,Physella columbiana,Rotund Physa,SSC,SSC - Group 3,9999,NA
Physella concolor - Haldeman's Physa,Aquatic,Molluscs,Physella concolor,Haldeman's Physa,SSC,SSC - Group 3,9999,NA
Physella hordacea - Grain physa,Aquatic,Molluscs,Physella hordacea,Grain physa,SSC,SSC - Group 3,9999,NA
Physella lordi - Twisted Physa,Aquatic,Molluscs,Physella lordi,Twisted Physa,SSC,SSC - Group 3,9999,NA
Physella nuttalli - Nuttall's Physa,Aquatic,Molluscs,Physella nuttalli,Nuttall's Physa,SSC,SSC - Group 3,9999,NA
Pisidium insigne - Tiny Peaclam,Terrestrial,Molluscs,Pisidium insigne,Tiny Peaclam,SSC,SSC - Group 3,9999,NA
Plethodon vehiculum - Western Red-backed Salamander,Terrestrial,Amphibians,Plethodon vehiculum,Western Red-backed Salamander,SSC,SSC - Group 3,9999,NA
Poecile rufescens - Chestnut-backed Chickadee,Terrestrial,Birds,Poecile rufescens,Chestnut-backed Chickadee,SSC,SSC - Group 3,9999,NA
Polemonium elegans - Elegant Jacob's-ladder,Terrestrial,Vascular plants,Polemonium elegans,Elegant Jacob's-ladder,SSC,SSC - Group 1,9999,NA
Polites sabuleti - Sandhill Skipper,Terrestrial,Arthropods,Polites sabuleti,Sandhill Skipper,SSC,SSC - Group 2,9999,NA
Progne subis - Purple Martin,Terrestrial,Birds,Progne subis,Purple Martin,SSC,SSC - Group 3,9999,NA
Prosimulium doveri - (common name not available),Terrestrial,Arthropods,Prosimulium doveri,(common name not available),SSC,SSC - Group 2,9999,NA
Prosopium cylindraceum - Round Whitefish,Aquatic,Fishes (freshwater),Prosopium cylindraceum,Round Whitefish,SSC,SSC - Group 3,9999,NA
Pseudacris maculata - Boreal Chorus Frog,Terrestrial,Amphibians,Pseudacris maculata,Boreal Chorus Frog,SSC,SSC - Group 3,9999,NA
Pseudacris regilla - Northern Pacific Treefrog,Terrestrial,Amphibians,Pseudacris regilla,Northern Pacific Treefrog,SSC,SSC - Group 3,9999,NA
Puffinus bulleri - Buller's Shearwater,Terrestrial,Birds,Puffinus bulleri,Buller's Shearwater,SSC,SSC - Group 1,9999,NA
